NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	Details ...	38	-0.7349785	-2.3411288	0.0	0.0	0.0	2084	tags=76%, list=17%, signal=92%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	117	-0.57811046	-2.2605917	0.0	4.5424077E-4	0.001	2383	tags=58%, list=19%, signal=71%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	117	-0.57811046	-2.247466	0.0	3.028272E-4	0.001	2383	tags=58%, list=19%, signal=71%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.6	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.6	Details ...	52	-0.65297174	-2.2300441	0.0	2.2712038E-4	0.001	1994	tags=63%, list=16%, signal=75%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	117	-0.57811046	-2.225271	0.0	1.8169632E-4	0.001	2383	tags=58%, list=19%, signal=71%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 65%156842	EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 65%156842	Details ...	91	-0.58397335	-2.1925814	0.0	3.045644E-4	0.002	4595	tags=81%, list=37%, signal=129%	
MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20240210%WP2911%HOMO SAPIENS	MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20240210%WP2911%HOMO SAPIENS	Details ...	15	-0.84991604	-2.1803174	0.0	2.6105522E-4	0.002	1050	tags=80%, list=9%, signal=87%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	139	-0.5412063	-2.1504078	0.0	4.6009597E-4	0.004	2011	tags=55%, list=16%, signal=65%	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4	Details ...	86	-0.5792844	-2.144617	0.0	5.112347E-4	0.005	4595	tags=80%, list=37%, signal=127%	
SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS	SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS	Details ...	28	-0.7190537	-2.1424541	0.0	5.5067916E-4	0.006	2112	tags=61%, list=17%, signal=73%	
