NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333	Details ...	135	0.6652775	2.7581959	0.0	0.0	0.0	2399	tags=53%, list=19%, signal=65%	
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 65%1428517	THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 65%1428517	Details ...	166	0.6436302	2.733561	0.0	0.0	0.0	2199	tags=48%, list=18%, signal=57%	
ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980	ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980	Details ...	157	0.6449467	2.731184	0.0	0.0	0.0	2199	tags=50%, list=18%, signal=60%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	124	0.66037595	2.715442	0.0	0.0	0.0	2399	tags=53%, list=19%, signal=65%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	Details ...	86	0.69101876	2.6784828	0.0	0.0	0.0	2280	tags=56%, list=18%, signal=68%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	97	0.67770326	2.6485002	0.0	0.0	0.0	2198	tags=52%, list=18%, signal=62%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	77	0.68729526	2.6212506	0.0	0.0	0.0	2280	tags=56%, list=18%, signal=68%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.3	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.3	Details ...	122	0.6371328	2.6129823	0.0	0.0	0.0	2198	tags=45%, list=18%, signal=54%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	77	0.68729526	2.601957	0.0	0.0	0.0	2280	tags=56%, list=18%, signal=68%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	152	0.6097551	2.558178	0.0	0.0	0.0	2399	tags=49%, list=19%, signal=60%	
